path,bcs
cat_data/essay/cat_01.jpeg,4
cat_data/essay/cat_02.jpeg,5
cat_data/essay/cat_03.jpeg,8
cat_data/essay/cat_04.jpeg,7
cat_data/essay/cat_05.jpeg,4
cat_data/essay/cat_06.jpeg,5
cat_data/essay/cat_07.jpeg,5
cat_data/essay/cat_08.jpeg,1
cat_data/essay/cat_09.jpeg,5
cat_data/essay/cat_10.jpeg,7
cat_data/essay/cat_11.jpeg,9
cat_data/essay/cat_12.jpeg,8
cat_data/essay/cat_13.jpeg,9
cat_data/essay/cat_14.jpeg,9
cat_data/essay/cat_15.jpeg,9
cat_data/essay/cat_16.jpeg,9
cat_data/essay/cat_17.jpeg,5
cat_data/essay/cat_18.jpeg,3
cat_data/essay/cat_19.jpeg,5
cat_data/essay/cat_20.jpeg,5
cat_data/essay/cat_21.jpeg,7
cat_data/essay/cat_22.jpeg,1
cat_data/essay/cat_23.jpeg,6
cat_data/essay/cat_24.jpeg,7
cat_data/essay/cat_25.jpeg,4
cat_data/essay/cat_26.jpeg,6
cat_data/essay/cat_27.jpeg,5
cat_data/essay/cat_28.jpeg,4
cat_data/essay/cat_29.jpeg,6
cat_data/essay/cat_30.jpeg,4
cat_data/essay/cat_31.jpeg,5
cat_data/essay/cat_32.jpeg,4
cat_data/essay/cat_33.jpeg,9
cat_data/essay/cat_34.jpeg,7
cat_data/essay/cat_35.jpeg,7
cat_data/essay/cat_37.jpeg,9
cat_data/essay/cat_38.jpeg,8
cat_data/essay/cat_39.jpeg,7
cat_data/essay/cat_40.jpeg,8
cat_data/essay/cat_41.jpeg,6
cat_data/essay/cat_42.jpeg,7
cat_data/essay/cat_43.jpeg,4
cat_data/essay/cat_44.jpeg,9
cat_data/essay/cat_45.jpeg,5
cat_data/essay/cat_46.jpeg,7
cat_data/essay/cat_47.jpeg,4
cat_data/essay/cat_48.jpeg,4
cat_data/essay/cat_49.jpeg,8
cat_data/essay/cat_50.jpeg,5
